,pokedex_number,name,generation,status,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
133,102,Exeggcute,1,Normal,Grass,Psychic,0.4,2.5,325,60,40,80,40,90.0,70.0,65.0,Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
134,103,Exeggutor,1,Normal,Grass,Psychic,2.0,120.0,530,95,95,85,55,45.0,70.0,186.0,Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
136,104,Cubone,1,Normal,Ground,,0.4,6.5,320,50,50,95,35,190.0,70.0,64.0,Medium Fast,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
137,105,Marowak,1,Normal,Ground,,1.0,45.0,425,60,80,110,45,75.0,70.0,149.0,Medium Fast,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
139,106,Hitmonlee,1,Normal,Fighting,,1.5,49.8,455,50,120,53,87,45.0,70.0,159.0,Medium Fast,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
140,107,Hitmonchan,1,Normal,Fighting,,1.4,50.2,455,50,105,79,76,45.0,70.0,159.0,Medium Fast,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
141,108,Lickitung,1,Normal,Normal,,1.2,65.5,385,90,55,75,30,45.0,70.0,77.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
142,109,Koffing,1,Normal,Poison,,0.6,1.0,340,40,65,95,35,190.0,70.0,68.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
143,110,Weezing,1,Normal,Poison,,1.2,9.5,490,65,90,120,60,60.0,70.0,172.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5
145,111,Rhyhorn,1,Normal,Ground,Rock,1.0,115.0,345,80,85,95,25,120.0,70.0,69.0,Slow,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
146,112,Rhydon,1,Normal,Ground,Rock,1.9,120.0,485,105,130,120,40,60.0,70.0,170.0,Slow,20.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
147,113,Chansey,1,Normal,Normal,,1.1,34.6,450,250,5,5,50,30.0,140.0,395.0,Fast,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
148,114,Tangela,1,Normal,Grass,,1.0,35.0,435,65,55,115,60,45.0,70.0,87.0,Medium Fast,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
149,115,Kangaskhan,1,Normal,Normal,,2.2,80.0,490,105,95,80,90,45.0,70.0,172.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
151,116,Horsea,1,Normal,Water,,0.4,8.0,295,30,40,70,60,225.0,70.0,59.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
152,117,Seadra,1,Normal,Water,,1.2,25.0,440,55,65,95,85,75.0,70.0,154.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
153,118,Goldeen,1,Normal,Water,,0.6,15.0,320,45,67,60,63,225.0,70.0,64.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
154,119,Seaking,1,Normal,Water,,1.3,39.0,450,80,92,65,68,60.0,70.0,158.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
155,120,Staryu,1,Normal,Water,,0.8,34.5,340,30,45,55,85,225.0,70.0,68.0,Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
156,121,Starmie,1,Normal,Water,Psychic,1.1,80.0,520,60,75,85,115,60.0,70.0,182.0,Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
157,122,Mr. Mime,1,Normal,Psychic,Fairy,1.3,54.5,460,40,45,65,90,45.0,70.0,161.0,Medium Fast,25.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0
159,123,Scyther,1,Normal,Bug,Flying,1.5,56.0,500,70,110,80,105,45.0,70.0,100.0,Medium Fast,25.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
160,124,Jynx,1,Normal,Ice,Psychic,1.4,40.6,455,65,50,35,95,45.0,70.0,159.0,Medium Fast,25.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
161,125,Electabuzz,1,Normal,Electric,,1.1,30.0,490,65,83,57,105,45.0,70.0,172.0,Medium Fast,25.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
162,126,Magmar,1,Normal,Fire,,1.3,44.5,495,65,95,57,93,45.0,70.0,173.0,Medium Fast,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
163,127,Pinsir,1,Normal,Bug,,1.5,55.0,500,65,125,100,85,45.0,70.0,175.0,Slow,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
165,128,Tauros,1,Normal,Normal,,1.4,88.4,490,75,100,95,110,45.0,70.0,172.0,Slow,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
166,129,Magikarp,1,Normal,Water,,0.9,10.0,200,20,10,55,80,255.0,70.0,40.0,Slow,5.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
167,130,Gyarados,1,Normal,Water,Flying,6.5,235.0,540,95,125,79,81,45.0,70.0,189.0,Slow,5.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
169,131,Lapras,1,Normal,Water,Ice,2.5,220.0,535,130,85,80,60,45.0,70.0,187.0,Slow,40.0,1.0,1.0,0.0,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
170,132,Ditto,1,Normal,Normal,,0.3,4.0,288,48,48,48,48,35.0,70.0,101.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
171,133,Eevee,1,Normal,Normal,,0.3,6.5,325,55,55,50,55,45.0,70.0,65.0,Medium Fast,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
173,134,Vaporeon,1,Normal,Water,,1.0,29.0,525,130,65,60,65,45.0,70.0,184.0,Medium Fast,35.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
174,135,Jolteon,1,Normal,Electric,,0.8,24.5,525,65,65,60,130,45.0,70.0,184.0,Medium Fast,35.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
175,136,Flareon,1,Normal,Fire,,0.9,25.0,525,65,130,60,65,45.0,70.0,184.0,Medium Fast,35.0,1.0,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
176,137,Porygon,1,Normal,Normal,,0.8,36.5,395,65,60,70,40,45.0,70.0,79.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
177,138,Omanyte,1,Normal,Rock,Water,0.4,7.5,355,35,40,100,35,45.0,70.0,71.0,Medium Fast,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
178,139,Omastar,1,Normal,Rock,Water,1.0,35.0,495,70,60,125,55,45.0,70.0,173.0,Medium Fast,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,140,Kabuto,1,Normal,Rock,Water,0.5,11.5,355,30,80,90,55,45.0,70.0,71.0,Medium Fast,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,141,Kabutops,1,Normal,Rock,Water,1.3,40.5,495,60,115,105,80,45.0,70.0,173.0,Medium Fast,30.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
181,142,Aerodactyl,1,Normal,Rock,Flying,1.8,59.0,515,80,105,65,130,45.0,70.0,180.0,Slow,35.0,0.5,0.5,2.0,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0
183,143,Snorlax,1,Normal,Normal,,2.1,460.0,540,160,110,65,30,25.0,70.0,189.0,Slow,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
184,144,Articuno,1,Sub Legendary,Ice,Flying,1.7,55.4,580,90,85,100,85,3.0,35.0,261.0,Slow,80.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
186,145,Zapdos,1,Sub Legendary,Electric,Flying,1.6,52.6,580,90,90,85,100,3.0,35.0,261.0,Slow,80.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
188,146,Moltres,1,Sub Legendary,Fire,Flying,2.0,60.0,580,90,100,90,90,3.0,35.0,261.0,Slow,80.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
190,147,Dratini,1,Normal,Dragon,,1.8,3.3,300,41,64,45,50,45.0,35.0,60.0,Slow,40.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
191,148,Dragonair,1,Normal,Dragon,,4.0,16.5,420,61,84,65,70,45.0,35.0,147.0,Slow,40.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
192,149,Dragonite,1,Normal,Dragon,Flying,2.2,210.0,600,91,134,95,80,45.0,35.0,270.0,Slow,40.0,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0
193,150,Mewtwo,1,Legendary,Psychic,,2.0,122.0,680,106,110,90,130,3.0,0.0,306.0,Slow,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
196,151,Mew,1,Mythical,Psychic,,0.4,4.0,600,100,100,100,100,45.0,100.0,270.0,Medium Slow,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
197,152,Chikorita,2,Normal,Grass,,0.9,6.4,318,45,49,65,45,45.0,70.0,64.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
198,153,Bayleef,2,Normal,Grass,,1.2,15.8,405,60,62,80,60,45.0,70.0,142.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
199,154,Meganium,2,Normal,Grass,,1.8,100.5,525,80,82,100,80,45.0,70.0,236.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
200,155,Cyndaquil,2,Normal,Fire,,0.5,7.9,309,39,52,43,65,45.0,70.0,62.0,Medium Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
201,156,Quilava,2,Normal,Fire,,0.9,19.0,405,58,64,58,80,45.0,70.0,142.0,Medium Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
202,157,Typhlosion,2,Normal,Fire,,1.7,79.5,534,78,84,78,100,45.0,70.0,240.0,Medium Slow,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
203,158,Totodile,2,Normal,Water,,0.6,9.5,314,50,65,64,43,45.0,70.0,63.0,Medium Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
204,159,Croconaw,2,Normal,Water,,1.1,25.0,405,65,80,80,58,45.0,70.0,142.0,Medium Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
205,160,Feraligatr,2,Normal,Water,,2.3,88.8,530,85,105,100,78,45.0,70.0,239.0,Medium Slow,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
206,161,Sentret,2,Normal,Normal,,0.8,6.0,215,35,46,34,20,255.0,70.0,43.0,Medium Fast,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
207,162,Furret,2,Normal,Normal,,1.8,32.5,415,85,76,64,90,90.0,70.0,145.0,Medium Fast,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
208,163,Hoothoot,2,Normal,Normal,Flying,0.7,21.2,262,60,30,30,50,255.0,70.0,52.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
209,164,Noctowl,2,Normal,Normal,Flying,1.6,40.8,452,100,50,50,70,90.0,70.0,158.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
210,165,Ledyba,2,Normal,Bug,Flying,1.0,10.8,265,40,20,30,55,255.0,70.0,53.0,Fast,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
211,166,Ledian,2,Normal,Bug,Flying,1.4,35.6,390,55,35,50,85,90.0,70.0,137.0,Fast,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
212,167,Spinarak,2,Normal,Bug,Poison,0.5,8.5,250,40,60,40,30,255.0,70.0,50.0,Fast,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
213,168,Ariados,2,Normal,Bug,Poison,1.1,33.5,400,70,90,70,40,90.0,70.0,140.0,Fast,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
214,169,Crobat,2,Normal,Poison,Flying,1.8,75.0,535,85,90,80,130,90.0,70.0,241.0,Medium Fast,15.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5
215,170,Chinchou,2,Normal,Water,Electric,0.5,12.0,330,75,38,38,67,190.0,70.0,66.0,Slow,20.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
216,171,Lanturn,2,Normal,Water,Electric,1.2,22.5,460,125,58,58,67,75.0,70.0,161.0,Slow,20.0,1.0,0.5,0.5,0.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0
217,172,Pichu,2,Normal,Electric,,0.3,2.0,205,20,40,15,60,190.0,70.0,41.0,Medium Fast,10.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
218,173,Cleffa,2,Normal,Fairy,,0.3,3.0,218,50,25,28,15,150.0,140.0,44.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
219,174,Igglybuff,2,Normal,Normal,Fairy,0.3,1.0,210,90,30,15,15,170.0,70.0,42.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0
220,175,Togepi,2,Normal,Fairy,,0.3,1.5,245,35,20,65,20,190.0,70.0,49.0,Fast,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
221,176,Togetic,2,Normal,Fairy,Flying,0.6,3.2,405,55,40,85,40,75.0,70.0,142.0,Fast,10.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0
222,177,Natu,2,Normal,Psychic,Flying,0.2,2.0,320,40,50,45,70,190.0,70.0,64.0,Medium Fast,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
223,178,Xatu,2,Normal,Psychic,Flying,1.5,15.0,470,65,75,70,95,75.0,70.0,165.0,Medium Fast,20.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
224,179,Mareep,2,Normal,Electric,,0.6,7.8,280,55,40,40,35,235.0,70.0,56.0,Medium Slow,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
225,180,Flaaffy,2,Normal,Electric,,0.8,13.3,365,70,55,55,45,120.0,70.0,128.0,Medium Slow,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
226,181,Ampharos,2,Normal,Electric,,1.4,61.5,510,90,75,85,55,45.0,70.0,230.0,Medium Slow,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
228,182,Bellossom,2,Normal,Grass,,0.4,5.8,490,75,80,95,50,45.0,70.0,221.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
229,183,Marill,2,Normal,Water,Fairy,0.4,8.5,250,70,20,50,40,190.0,70.0,88.0,Fast,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
230,184,Azumarill,2,Normal,Water,Fairy,0.8,28.5,420,100,50,80,50,75.0,70.0,189.0,Fast,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0
231,185,Sudowoodo,2,Normal,Rock,,1.2,38.0,410,70,100,115,30,65.0,70.0,144.0,Medium Fast,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
232,186,Politoed,2,Normal,Water,,1.1,33.9,500,90,75,75,70,45.0,70.0,225.0,Medium Slow,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
233,187,Hoppip,2,Normal,Grass,Flying,0.4,0.5,250,35,35,40,50,255.0,70.0,50.0,Medium Slow,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
234,188,Skiploom,2,Normal,Grass,Flying,0.6,1.0,340,55,45,50,80,120.0,70.0,119.0,Medium Slow,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
235,189,Jumpluff,2,Normal,Grass,Flying,0.8,3.0,460,75,55,70,110,45.0,70.0,207.0,Medium Slow,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
236,190,Aipom,2,Normal,Normal,,0.8,11.5,360,55,70,55,85,45.0,70.0,72.0,Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
237,191,Sunkern,2,Normal,Grass,,0.3,1.8,180,30,30,30,30,235.0,70.0,36.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
238,192,Sunflora,2,Normal,Grass,,0.8,8.5,425,75,75,55,30,120.0,70.0,149.0,Medium Slow,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
239,193,Yanma,2,Normal,Bug,Flying,1.2,38.0,390,65,65,45,95,75.0,70.0,78.0,Medium Fast,20.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
240,194,Wooper,2,Normal,Water,Ground,0.4,8.5,210,55,45,45,15,255.0,70.0,42.0,Medium Fast,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
241,195,Quagsire,2,Normal,Water,Ground,1.4,75.0,430,95,85,85,35,90.0,70.0,151.0,Medium Fast,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
242,196,Espeon,2,Normal,Psychic,,0.9,26.5,525,65,65,60,110,45.0,70.0,184.0,Medium Fast,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
243,197,Umbreon,2,Normal,Dark,,1.0,27.0,525,95,65,110,65,45.0,35.0,184.0,Medium Fast,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
244,198,Murkrow,2,Normal,Dark,Flying,0.5,2.1,405,60,85,42,91,30.0,35.0,81.0,Medium Slow,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0
245,199,Slowking,2,Normal,Water,Psychic,2.0,79.5,490,95,75,80,30,70.0,70.0,172.0,Medium Fast,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
247,200,Misdreavus,2,Normal,Ghost,,0.7,1.0,435,60,60,60,85,45.0,35.0,87.0,Fast,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
248,201,Unown,2,Normal,Psychic,,0.5,5.0,336,48,72,48,48,225.0,70.0,118.0,Medium Fast,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
249,202,Wobbuffet,2,Normal,Psychic,,1.3,28.5,405,190,33,58,33,45.0,70.0,142.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
250,203,Girafarig,2,Normal,Normal,Psychic,1.5,41.5,455,70,80,65,85,60.0,70.0,159.0,Medium Fast,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
251,204,Pineco,2,Normal,Bug,,0.6,7.2,290,50,65,90,15,190.0,70.0,58.0,Medium Fast,20.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
